1,600031,三一重工,12.87,-0.85,-10810.77,-4.80,-6966.31,-3.09,-3844.46,-1.71,-4836.26,-2.15,15647.02,6.94,2019-04-15 15:00:00,-0.11,
2,000882,华联股份,3.24,-0.61,-925.36,-11.42,-157.74,-1.95,-767.62,-9.48,-366.63,-4.53,1292.00,15.95,2019-04-15 15:00:00,-0.02,
2,002846,英联股份,17.40,-0.57,2716.59,7.04,3987.36,10.33,-1270.77,-3.29,-815.35,-2.11,-1901.24,-4.93,2019-04-15 15:00:00,-0.10,
2,002649,博彦科技,10.41,-1.70,7137.91,8.45,13809.78,16.35,-6671.87,-7.90,-6387.16,-7.56,-750.76,-0.89,2019-04-15 15:00:00,-0.18,
1,600340,华夏幸福,32.96,1.35,3604.19,4.31,-2421.39,-2.90,6025.58,7.21,-316.54,-0.38,-3287.64,-3.94,2019-04-15 15:00:00,0.44,
1,600708,光明地产,6.50,6.38,10979.96,14.79,16968.59,22.86,-5988.64,-8.07,-6200.24,-8.35,-4779.71,-6.44,2019-04-15 15:00:00,0.39,
1,600737,中粮糖业,11.53,5.59,11261.97,8.79,9070.71,7.08,2191.25,1.71,-3050.13,-2.38,-8211.84,-6.41,2019-04-15 15:00:00,0.61,
2,002733,雄韬股份,28.88,4.83,-7744.22,-5.44,-1985.16,-1.40,-5759.07,-4.05,2071.17,1.46,5673.05,3.99,2019-04-15 15:00:00,1.33,
1,600794,保税科技,5.60,6.87,3591.96,2.55,6323.58,4.49,-2731.62,-1.94,-2656.25,-1.89,-935.71,-0.66,2019-04-15 15:00:00,0.36,
2,000862,银星能源,7.51,-7.17,-13637.55,-11.44,-7508.20,-6.30,-6129.34,-5.14,1933.05,1.62,11704.50,9.82,2019-04-15 15:00:00,-0.58,
1,600458,时代新材,11.34,-0.61,-1763.09,-8.86,-1139.19,-5.72,-623.91,-3.13,-140.43,-0.71,1903.52,9.56,2019-04-15 15:00:00,-0.07,
1,601628,中国人寿,28.96,1.29,8968.67,12.33,9492.90,13.05,-524.23,-0.72,-4075.87,-5.61,-4892.80,-6.73,2019-04-15 15:00:00,0.37,
1,603681,永冠新材,32.00,7.38,13545.11,22.74,10649.40,17.87,2895.71,4.86,-5577.19,-9.36,-7967.92,-13.37,2019-04-15 15:00:00,2.20,
2,002768,国恩股份,34.55,10.00,5046.43,21.59,7064.74,30.22,-2018.31,-8.63,-3355.50,-14.35,-1690.94,-7.23,2019-04-15 15:00:00,3.14,
1,600624,复旦复华,12.36,-4.85,-9844.42,-12.49,-4833.69,-6.13,-5010.74,-6.36,2111.08,2.68,7733.34,9.81,2019-04-15 15:00:00,-0.63,
